article_id,infraction_desc,categorie_vehicule,amende_fixe,amende_min,amende_max,points_retrait,mots_cles,role_paragraphe,has_prison,has_license_penalty,source,model_approach,cluster_theme
1,ال يجوز الي شخص ان يسوق مركبه ذات محرك او مجموعه مركبات علي الطريق العموميه ما لم يكن حاصال علي رخصه للسياقه ساريه الصالحيه ومسلمه من قبل االداره، تناسب صنف المركبه او مجموعه المركبات التي يسوقها.,vehicule leger / voiture,,,,,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,5
2,استثناء من احكام الماده االولي اعاله : - يجوز للمغاربه القاطنين بالخارج ان يسوقوا، داخل التراب الوطني، خالل مده اقصاها 1 سنه واحده ابتداء من اقامتهم بالمغرب، بواسطه رخصه السياقه المسلمه لهم بالخارج ساريه الصالحيه ؛ - يجوز للسايقين من جنسيه اجنبيه، ان يسوقوا بواسطه رخصه السياقه المسلمه لهم بالخارج 2 ساريه الصالحيه، لكن فقط، خالل مده اقصاها سنه من تاريخ اقامتهم الموقته بالمغرب كما هي محدده في النصوص التشريعيه والتنظيميه المتعلقه بدخول واقامه االجانب بالمملكه المغربيه. 2 االمانه العامه للحكومه 3 الماده يجب علي السايقين الحاصلين علي رخصه سياقه مسلمه بالخارج، بعد انصرام المده المشار اليها في الماده السابقه، ان يتقدموا المتحانات الحصول علي رخصه السياقه المغربيه، او ان يطلبوا تبديل رخصتهم للسياقه تطبيقا للفقرات المواليه. يمكن للمغاربه واالجانب الحاصلين علي رخصه سياقه مسلمه من قبل دوله يربطها بالمغرب اتفاق اعتراف متبادل بسندات السياقه، تبديل سنداتهم مقابل رخصه سياقه مغربيه وفق الشروط المحدده ضي االتفاق المذكور. �بمقت يمكن للحاصلين علي رخصه سياقه مسلمه من قبل دوله تعترف بتبديل رخصه السياقه المغربيه مقابل رخصتها الوطنيه، تبديل سنداتهم مقابل رخصه سياقه مغربيه وفق الشروط التي تحددها االداره. يمكن للمغاربه، القاطنين بالخارج والعايدين بصفه نهاييه الي المغرب، تبديل سنداتهم مقابل رخصه سياقه مغربيه وفق الشروط المحدده من قبل االداره,non specifie,,,,,permis,obligation,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,0
4,في حاله السير الدولي ووفقا لالتفاقيه الدوليه للسير علي الطرق، تسلم الهييات الموهله لذلك من قبل االداره، رخصه دوليه للسياقه موضوعه في دفتر خاص. يجوز للسايقين من جنسيه اجنبيه، الحاصلين علي رخصه دوليه للسياقه، السياقه علي التراب 2 من الماده 2 الوطني خالل مده صالحيه الرخصه المذكوره دون ان تتجاوز المده المشار اليها في البند اعاله.,non specifie,,,,,"permis, depassement",autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,5
5,من 13 بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (غريت ومتمت مبوجب الماده االويل من القانون رقم )5866 :)، ص 2016 اغسطس 11( 1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18 ( 1437 شوال استثناء من احكام الماده االولي اعاله، يجوز للسايقين العسكريين الحاصلين علي اجازه السياقه المسلمه من قبل السلطه التابعين لها، من اجل سياقه المركبات العسكريه : - ان يسوقوا، علي الطريق العموميه المركبات العسكريه التي عهد اليهم بسياقتها من قبل السلطه 1 العسكريه المختصه، شريطه احترام قواعد السير المحدده في هذا القانون والنصوص المتخذه لتطبيقه والقواعد المقرره في شانهم من قبل السلطه العسكريه ؛ - ان يقوموا بتبديل االجازه مقابل رخصه للسياقه من نفس الصنف، مسلمه من قبل االداره 2 10 المدنيه، وفقا للشروط المحدده بنص تنظيمي، دون اجتياز االختبارين المشار اليهما في الماده اسفله. 11 من الماده 2 و1 اسفله شريطه استيفايهم الشروط المحدده في البندين 3 االمانه العامه للحكومه 6 الماده ال يجوز الي كان سياقه مركبه فالحيه ذات محرك او مركبه غابويه ذات محرك او اريبه لالشغال العموميه او اريبه خاصه ذات محرك، علي الطريق العموميه، مالم يكن حاصال علي رخصه للسياقه مسلمه طبقا للماده االولي اعاله. الباب الثاني اصناف رخصه السياقه,vehicule leger / voiture,,,,,"permis, alcool",autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,4
7,من 13 بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (غريت ومتمت مبوجب الماده االويل من القانون رقم )5866 :)، ص 2016 اغسطس 11( 1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18 ( 1437 شوال يحدد صنف رخصه السياقه حسب صنف او اصناف المركبه التي يمكن سياقتها. ه «) و D( »د«) و C( »ج«) و B( »ب«) و A( »ا«) و A1( »1ا«) و AM( »ام« :اصناف رخصه السياقه هي ).E)D(( »)ه(د«) وE)C(( »)ه (ج«) وE)B(( »)(ب وتسمح هذه االصناف بسياقه المركبات التاليه : ) : AM( »ام« صنف - دراجه بمحرك ؛ - دراجه رباعيه العجالت خفيفه بمحرك. ) :A1( »1ا« صنف - الدراجات الناريه الخفيفه . ) :A( »ا« صنف - الدراجات الناريه. ) :B( »ب« صنف - السيارات المعده لنقل االشخاص والمحتويه زياده علي مقعد السايق علي ثمانيه مقاعد للجلوس علي االكثر ؛ - 3500)PTC ( السيارات المعده لنقل البضايع والتي ال يتجاوز وزنها االجمالي الماذون به محمله كيلوغرام ؛ 4 االمانه العامه للحكومه - المركبات الفالحيه ذات محرك والمركبات الغابويه ذات محرك واريبات االشغال العموميه ذات 3500 محرك واالريبات الخاصه ذات محرك، التي ال يتجاوز وزنها االجمالي الماذون به محمله كيلوغرام، وذلك عند سيرها علي الطريق العموميه ؛ - الدراجات ثالثيه العجالت بمحرك ؛ - الدراجات ثالثيه العجالت خفيفه بمحرك ؛ - الدراجات رباعيه العجالت ثقيله بمحرك. باستثناء الدراجات ثالثيه العجالت بمحرك والدراجات ثالثيه العجالت خفيفه بمحرك والدراجات رباعيه العجالت ثقيله بمحرك، يجوز ان تقرن المركبات من هذا الصنف بمقطوره ال يتجاوز وزنها كيلوغراما، 750 كيلوغراما، او بمقطوره يتجاوز وزنها االجمالي الماذون به محمله 750 االجمالي محمله كيلوغرام 3500 شريطه ان ال يتجاوز الوزن االجمالي مع الحموله للمركبه الجاره والمقطوره معا او ان ال يتجاوز الوزن االجمالي الماذون به للمقطوره محمله وزن المركبه الجاره وهي فارغه. ) :C( »ج« صنف - كيلوغرام ؛ 3500 السيارات المعده لنقل البضايع التي يتجاوز وزنها االجمالي محمله - المركبات الفالحيه ذات محرك والمركبات الغابويه ذات محرك واريبات االشغال العموميه ذات 3500)PTC ( محرك واالريبات الخاصه ذات محرك، التي يتجاوز وزنها االجمالي الماذون به محمله كيلوغرام، وذلك عند سيرها علي الطريق العموميه. 750 ويجوز ربط المركبات من هذا الصنف بمقطوره ال يتجاوز وزنها االجمالي الماذون به محمله كيلوغراما. ) :D( »د« صنف السيارات المعده لنقل االشخاص والمحتويه، عالوه علي مقعد السايق، علي اكثر من ثمانيه مقاعد للجلوس او تنقل علي متنها اكثر من ثمانيه اشخاص دون احتساب السايق. ويجوز ان تقرن السيارات من هذا الصنف بمقطوره ال يتجاوز وزنها االجمالي الماذون به محمله كيلوغراما. 750 : )E)B(( »)ه (ب« صنف - كيلوغراما، 750 ) المقرونه بمقطوره يتجاوز وزنها االجمالي محمله B( »ب« المركبات من الصنف وذلك اذا كان الوزن االجمالي للمقطوره محمله يتجاوز وزن المركبه الجاره وهي فارغه او اذا كان كيلوغرام. 3500 مجموع الوزن االجمالي مع الحموله للمركبه الجاره وللمقطوره معا يتجاوز 5 االمانه العامه للحكومه: )E)C(( »)ه (ج« صنف ) ومقرونه C( »ج« مجموعه مركبات مقرونه بعضها ببعض من ضمنها مركبه جاره تندرج في صنف كيلوغراما. 750 بمقطوره يتجاوز وزنها االجمالي محمله ) : E)D(( » ) ه (د« صنف ) D( »د« مجموعه مركبات مقرونه بعضها ببعض من ضمنها مركبه جاره تندرج في صنف كيلوغراما. 750 ومقرونه بمقطوره يتجاوز وزنها االجمالي محمله ) مهياه خصيصا لالشخاص B( »ب« ) و A( »ا« ) و A1( »1ا« ) و AM( »ام« اذا كانت المركبات من صنف المعاقين، تجب االشاره الي ذلك في رخصه السياقه المعنيه برموز تحددها االداره.,moto / deux roues; poids lourd / marchandises; transport collectif; vehicule leger / voiture,,,,,"permis, depassement, chargement",autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,2
8,من 13 بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (غريت ومتمت مبوجب الماده االويل من القانون رقم )5866 :)، ص 2016 اغسطس 11(1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18( 1437 شوال ال يسمح كل صنف من اصناف رخصه السياقه اال بسياقه صنف المركبات المقابل له فقط كما هو اعاله. 7 مقرر في الماده غير ان : ه « )، تقبل ايضا بالنسبه للصنف E)D(( »)ه (د« ) او E)C(( »)ه (ج« - رخصه السياقه من الصنف 1 »ب« )، شريطه ان يكون صاحب الرخصه حاصال علي رخصه السياقه من الصنف E)B(( »)(ب ) ؛B( )،E)D(( »)ه (د« )، تقبل ايضا بالنسبه للصنف E)C(( »)ه (ج« - رخصه السياقه من الصنف 2 .)D( »د« شريطه ان يكون صاحب الرخصه حاصال علي رخصه السياقه من الصنف ) ؛AM( »ام«) و A1( »1 ا« ) تقبل ايضا بالنسبه للصنف A( » ا« - رخصه السياقه من الصنف 3 ) تقبل ايضا بالنسبه للصنف A1( »1 ا« ) او من الصنف B( »ب« - رخصه السياقه من الصنف 4 : )AM( »ام« ) المسلمه قبل تاريخ J( »ي« بعده، تخول رخصه السياقه من الصنف 309 مع مراعاه احكام الماده ).A1( »1ا« صدور هذا القانون الحق في سياقه الدراجات الناريه من صنف,moto / deux roues,,,,,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,2
9,يجب االدالء برخصه السياقه او بالوثيقه التي تحل محلها الي االعوان المكلفين بمراقبه تطبيق احكام هذا القانون والنصوص الصادره لتطبيقه، كلما طلبوا ذلك. 6 االمانه العامه للحكومهالباب الثالث شروط الحصول علي رخصه السياقه 1 الفرع احكام عامه,non specifie,,,,,"permis, documents",obligation,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,1
10,من 13 بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (غريت ومتمت مبوجب الماده االويل من القانون رقم )5866 :)، ص 2016 اغسطس 11( 1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18 ( 1437 شوال تسلم رخصه السياقه الي المترشح بعد اجتيازه بنجاح : - الختبار في مراقبه المعارف ينصب خاصه علي االحكام التشريعيه والتنظيميه في مجال سياقه 1 المركبات ذات محرك وسالمه السير الطرقي ؛ - الختبار في مراقبه القدرات و السلوكات المرتبطه بقياده مركبه ذات محرك، الغرض منه 2 التاكد من ان المترشح قادر علي تمييز االخطار الناتجه عن السير وتقدير جسامتها، والتحكم في مركبته واحترام االحكام التشريعيه والتنظيميه في مجال السير الطرقي واكتشاف العيوب التقنيه االكثر اهميه والمساهمه في سالمه كافه مستعملي الطريق العموميه . اعاله، المترشحون الجتياز امتحان الحصول علي رخصه 2 يعفي من االختبارات المشار اليها في ).AM( »ام« سياقه من صنف,vehicule leger / voiture,,,,,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,2
11,من 13 بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (غريت ومتمت مبوجب الماده االويل من القانون رقم )5867 :)، ص 2016 اغسطس 11( 1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18 ( 1437 شوال ال يجوز الي كان ان يتقدم الجتياز امتحان الحصول علي رخصه سياقه احدي اصناف المركبات، اذا لم يكن مستوفيا للشروط التاليه : - ان ال تقل سنه عن : 1 - ) ؛AM( »ام« سنه شمسيه كالمه لسياقه المركبات من الصنف 14 - ) ؛A1( »1ا« سنه شمسيه كالمه لسياقه المركبات من الصنف 16 - ه« ) والصنف B( »ب« ) والصنف A( »ا« سنه شمسيه كالمه لسياقه المركبات من الصنف 18 ) ؛E)B(( »)(ب - ه «) وE)C(( »)ه (ج«) و D( »د«) و C( »ج« سنه شمسيه كالمه لسياقه المركبات من الصنف 21 »ب« ). ويشترط بلوغ هذه السن ايضا عندما يتعلق االمر بسياقه مركبه من الصنف E)D(( »)(د )مخصصه ملصلحه للنقل الجماعي لالشخاص ؛ B( 7 االمانه العامه للحكومه - ان يكون اهال بدنيا وعقليا لسياقه المركبات من الصنف المعني برخصه السياقه. وتثبت هذه 2 بعده ؛ 2 االهليه بشهاده طبيه مسلمه وفق الفرع - ان يثبت خضوعه لتعليم في سياقه المركبات ذات محرك في احدي الموسسات المرخص لها لهذا 3 ادناه ؛ 251 الغرض مع مراعاه احكام الماده - ان يكون حاصال علي : 4 - ) واال يقل رصيد النقط المخصص B( »ب« رخصه السياقه بعد انتهاء الفتره االختباريه من صنف ) ؛D( »د«) و C( »ج« لرخصته عن اثنتي عشره نقطه، للحصول علي رخصه السياقه من الصنفين - ) واال يقل رصيد النقط المخصص B( »ب« رخصه السياقه بعد انتهاء الفتره االختباريه من صنف ) ؛ E)D(( »)ه (د« لرخصته عن اثنتي عشره نقطه، للحصول علي رخصه السياقه من الصنف - ) ؛E)C(( »)ه (ج« ) للحصول علي رخصه السياقه من الصنف C( »ج« رخصه السياقه من الصنف - ).E)D(( »)ه (د« ) للحصول علي رخصه السياقه من الصنف D( »د« رخصه السياقه من الصنف 2 الفرع االهليه البدنيه والعقليه,vehicule leger / voiture,,,,12.0,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,2
12,يخضع وجوبا كل مترشح الختبارات امتحان الحصول علي رخصه السياقه لفحص طبي مسبق، الغايه منه التاكد من ان قدراته البدنيه والعقليه تمكنه من سياقه مركبه علي الطريق العموميه دون خطر وخاصه التاكد من انه غير مصاب باحد االمراض التي تمنع السياقه والمحدده قايمتها من قبل االداره بعد استشاره المجلس الوطني لهييه االطباء الوطنيه. يتم تحيين قايمه االمراض التي تمنع السياقه كل ثالث سنوات بعد استشاره المجلس الوطني لهييه االطباء الوطنيه. تحدد االداره القدرات البدنيه والعقليه المطلوبه حسب صنف رخصه السياقه التي يرغب المترشح في الحصول عليها. يدلي المعني باالمر بالشهاده الطبيه المثبته لقدراته البدنيه والعقليه عند ايداع ترشيحه الجتياز امتحان الحصول علي رخصه السياقه.,vehicule leger / voiture,,,,,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,4
